(hpc) [amw9425@gv009 ~]$ timeout 3m nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0   281    65    67    97    62     0     0   877  1530
    0   259    65    69    98    66     0     0   877  1530
    0   266    65    69    97    67     0     0   877  1530
    0   275    65    67    97    59     0     0   877  1530
    0   217    65    68    98    65     0     0   877  1530
    0   262    65    68    97    67     0     0   877  1530
    0   283    66    67    97    59     0     0   877  1530
    0   268    65    68    98    65     0     0   877  1530
    0   251    65    69    97    67     0     0   877  1530
    0   264    65    67    97    59     0     0   877  1530
    0   263    65    69    98    64     0     0   877  1530
    0   260    65    69    97    66     0     0   877  1530
    0   264    65    67    97    62     0     0   877  1530
    0   265    65    68    97    62     0     0   877  1530
    0   289    65    69    98    67     0     0   877  1530
    0   266    65    68    98    67     0     0   877  1530
    0   259    65    68    97    60     0     0   877  1530
    0   244    65    69    98    64     0     0   877  1522
    0   289    65    67    97    67     0     0   877  1530
    0   284    65    68    97    60     0     0   877  1530
    0    82    61    61     0     0     0     0   877  1530
    0   298    65    68    97    70     0     0   877  1515
    0   248    65    67    97    72     0     0   877  1522
    0   278    65    69    97    72     0     0   877  1530
    0   285    64    67    96    67     0     0   877  1530
    0   231    64    68    97    59     0     0   877  1530
    0   267    64    67    97    63     0     0   877  1530
    0   268    65    67    96    65     0     0   877  1522
    0   264    65    69    97    65     0     0   877  1530
    0   277    64    68    97    60     0     0   877  1530
    0   283    65    67    97    65     0     0   877  1530
    0   263    65    68    97    67     0     0   877  1530
    0   275    65    69    97    60     0     0   877  1530
    0   289    65    67    97    62     0     0   877  1530
    0   259    65    68    98    66     0     0   877  1522
    0   256    64    69    96    67     0     0   877  1530
    0   271    65    67    97    59     0     0   877  1530
    0   269    65    68    97    63     0     0   877  1530
    0   243    65    69    96    65     0     0   877  1522
    0   292    65    67    97    64     0     0   877  1530
    0   289    65    67    97    61     0     0   877  1530
    0   211    65    69    97    65     0     0   877  1522
    0   265    65    68    97    67     0     0   877  1530
    0   280    65    67    97    60     0     0   877  1530
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0   281    65    68    97    62     0     0   877  1522
    0   261    65    69    98    67     0     0   877  1530
    0   299    65    67    97    67     0     0   877  1530
    0   282    65    68    97    60     0     0   877  1530
    0   258    65    69    97    65     0     0   877  1530
    0   271    65    70    96    66     0     0   877  1522
    0   280    65    67    97    61     0     0   877  1530
    0   292    66    68    97    62     0     0   877  1530
    0   215    66    69    97    66     0     0   877  1530
    0   286    65    69    97    67     0     0   877  1530
    0   281    65    68    97    59     0     0   877  1530
    0   288    66    68    97    63     0     0   877  1530
    0   224    65    69    97    66     0     0   877  1530
    0   267    65    68    97    63     0     0   877  1530
    0   276    65    67    97    61     0     0   877  1522
