epoch,val_accuracy,val_loss
1,32.34,1.963557779788971
2,49.47,1.4889221668243409
3,59.03,1.2128364145755768
4,63.72,1.1080577090382575
5,64.55,1.1230256959795952
6,69.53,0.9242522463202476
7,71.61,0.8989032849669456
8,73.72,0.7983212038874626
9,71.87,0.8949172988533973
10,75.76,0.7511659473180771
11,79.81,0.6328074626624585
12,79.29,0.6682048171758652
13,78.53,0.6563785821199417
14,79.82,0.6599870406091213
15,80.71,0.6008108802139759
16,82.12,0.5791453927755356
17,83.75,0.508936820179224
18,84.72,0.4678011227399111
